,_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight
1375,fulleto02,"July 25, 1974","Fayetteville, North Carolina",0.2,42.2,0.0,66.8,225,10.3,3.7,3.0,2.2,42.2,North Carolina State University,11th overall,1st round,Golden State Warriors,1996,6-11,"Charlotte Christian in Charlotte, North Carolina",Todd Fuller,Center,Left,255lb
1376,fulleto01,"September 4, 1958","Detroit, Michigan",1.9,36.4,0.0,75.0,15,6.9,4.0,2.8,-0.1,36.4,Pepperdine University,93rd overall,5th round,Detroit Pistons,1980,6-4,"Saint Martin de Porres in Detroit, Michigan",Tony Fuller,Shooting Guard,Right,180lb
1377,fultzma01,"May 29, 1998","Upper Marlboro, Maryland",3.4,41.4,26.7,53.4,33,11.2,7.7,3.4,0.5,42.1,University of Washington,1st overall,1st round,Philadelphia 76ers,2017,6-4,"DeMatha Catholic in Hyattsville, Maryland",Markelle Fultz,Shooting Guard,Right,200lb
1378,fundela01,"December 15, 1970","Columbus, Ohio",0.6,50.6,11.8,67.5,318,16.4,6.4,3.6,12.9,50.6,"Indiana University, Ohio State University",51st overall,2nd round,Sacramento Kings,1994,6-9,"Wehrle in Columbus, Ohio",Lawrence Funderburke,Power Forward,Left,230lb
1379,furlote01,"October 18, 1954","Flint, Michigan",2.4,45.9,29.3,86.2,239,16.2,10.7,2.1,7.3,46.5,Michigan State University,12th overall,1st round,Philadelphia 76ers,1976,6-4,"Flint Northern in Flint, Michigan",Terry Furlow,Shooting Guard,Left,190lb
1381,gadzuda01,"February 2, 1978","Den Haag, Netherlands",0.4,50.0,0.0,49.8,527,14.4,4.7,4.4,15.8,50.0,"University of California, Los Angeles",34th overall,2nd round,Milwaukee Bucks,2002,6-11,"Governor Dummer Academy in Byfield, Massachusetts",Dan Gadzuric,Center and Power Forward,Right,240lb
1385,gaineco01,"June 1, 1965","Los Angeles, California",3.1,42.4,22.9,73.6,80,10.8,3.1,0.9,1.1,44.9,"University of California, Los Angeles, Loyola Marymount University",65th overall,3rd round,Seattle SuperSonics,1988,6-3,"Saint Bernard in Playa del Rey, California",Corey Gaines,Shooting Guard,Right,195lb
1387,gainere01,"January 7, 1981","Madison, Wisconsin",0.7,32.4,26.9,60.6,71,5.3,1.7,0.7,-0.6,34.8,University of Louisville,15th overall,1st round,Orlando Magic,2003,6-6,"Madison West in Madison, Wisconsin",Reece Gaines,Point Guard,Right,205lb
1389,galemi01,"July 18, 1950","Philadelphia, Pennsylvania",3.7,46.4,18.7,78.1,842,12.4,7.4,2.9,34.6,46.6,Elizabeth City State University,47th overall,3rd round,Chicago Bulls,1971,6-4,"Overbrook in Philadelphia, Pennsylvania",Mike Gale,Point Guard and Shooting Guard,Right,185lb
1395,gamblke01,"November 13, 1965","Springfield, Illinois",2.0,50.2,36.0,81.0,649,14.2,9.5,2.2,33.3,52.4,University of Iowa,63rd overall,3rd round,Portland Trail Blazers,1987,6-5,"Lanphier in Springfield, Illinois",Kevin Gamble,Small Forward,Right,210lb
1400,garcifr01,"December 31, 1981","Santo Domingo, Dominican Republic",1.4,42.7,35.7,79.9,549,12.3,7.9,2.6,18.2,50.7,University of Louisville,23rd overall,1st round,Sacramento Kings,2005,6-7,"Winchendon School in Winchendon, Massachusetts",Francisco Garcia,Small Forward and Shooting Guard,Right,195lb
1408,garlaga01,"October 12, 1957","East Orange, New Jersey",1.9,43.5,31.6,69.2,78,10.2,4.3,1.8,0.5,44.4,DePaul University,30th overall,2nd round,Denver Nuggets,1979,6-4,"Clifford J. Scott in East Orange, New Jersey",Gary Garland,Point Guard,Right,180lb
1409,garlawi01,"December 19, 1964","Gary, Indiana",4.7,43.0,28.1,83.0,511,12.5,9.4,2.8,14.2,43.8,Missouri State University,40th overall,2nd round,Milwaukee Bucks,1987,6-2,"Roosevelt in Gary, Indiana",Winston Garland,Point Guard,Right,170lb
1411,garnebi01,"June 17, 1940","East St. Louis, Illinois",0.5,27.2,0.0,50.0,53,-1.2,1.5,2.2,-0.7,27.2,University of Portland,68th overall,8th round,Los Angeles Lakers,1962,6-10,"East St. Louis in East St. Louis, Illinois",Bill Garner,Center,Right,220lb
1413,garnebi02,"April 22, 1960","Kansas City, Missouri",1.3,49.0,0.0,72.0,300,12.3,5.5,4.3,10.8,49.0,University of Wyoming,4th overall,1st round,Dallas Mavericks,1982,6-9,"Regis in Denver, Colorado",Bill Garnett,Center and Power Forward,Right,225lb
1417,garreca01,"July 11, 1956","Parsons, Tennessee",1.5,45.7,30.0,76.7,166,8.9,5.2,2.6,2.6,46.1,"Austin Peay State University, Oral Roberts University",47th overall,3rd round,Chicago Bulls,1979,6-7,"East in Nashville, Tennessee",Calvin Garrett,Small Forward,Right,190lb
1422,garrito01,"July 7, 1966","West Warwick, Rhode Island",3.4,46.9,8.3,77.5,251,11.6,5.4,2.0,5.9,47.1,University of Rhode Island,45th overall,2nd round,Los Angeles Clippers,1988,6-2,"West Warwick in West Warwick, Rhode Island",Tom Garrick,Shooting Guard,Right,185lb
1425,garripa01,"August 23, 1976","Las Vegas, Nevada",0.8,41.7,39.8,80.6,552,10.7,7.3,2.6,18.7,50.6,University of Notre Dame,19th overall,1st round,Milwaukee Bucks,1998,6-9,"Lewis Palmer in Monument, Colorado",Pat Garrity,Power Forward and Small Forward,Right,238lb
1430,gatlich01,"September 3, 1967","Elizabeth, New Jersey",0.7,51.3,24.9,66.0,700,17.6,10.3,5.3,32.1,51.7,Old Dominion University,16th overall,1st round,Golden State Warriors,1991,6-10,"Elizabeth in Elizabeth, New Jersey",Chris Gatling,Center and Power Forward,Left,220lb
1431,gattike01,"May 23, 1964","Wilmington, North Carolina",0.9,52.0,8.3,64.9,494,13.0,7.9,4.7,16.9,52.0,Old Dominion University,55th overall,3rd round,Phoenix Suns,1986,6-8,"New Hanover in Wilmington, North Carolina",Kenny Gattison,Power Forward,Right,225lb
1432,gayru01,"August 17, 1986","Baltimore, Maryland",2.2,45.6,34.8,79.6,879,16.8,17.6,5.9,54.9,49.1,University of Connecticut,8th overall,1st round,Houston Rockets,2006,6-8,"Archbishop Spalding in Severn, Maryland",Rudy Gay,Power Forward and Small Forward,Right,230lb
1435,gbinimi01,"June 5, 1992","Hartford, Connecticut",0.2,10.0,0.0,100.0,9,-2.1,0.4,0.3,-0.1,10.0,"Duke University, Syracuse University",49th overall,2nd round,Detroit Pistons,2016,6-7,"Benedictine College Prep in Richmond, Virginia",Michael Gbinije,Shooting Guard,Right,200lb
1436,gearyre01,"August 31, 1973","Trenton, New Jersey",1.1,34.4,32.8,49.3,101,7.3,2.1,0.8,0.6,38.8,University of Arizona,56th overall,2nd round,Cleveland Cavaliers,1996,6-2,"Mater Dei in Santa Ana, California",Reggie Geary,Point Guard,Right,187lb
1438,geigema01,"September 10, 1969","Salem, Massachusetts",0.7,49.9,23.2,72.8,552,15.2,9.2,5.7,28.4,50.1,"Auburn University, Georgia Institute of Technology",42nd overall,2nd round,Miami Heat,1992,7-0,"Countryside in Clearwater, Florida",Matt Geiger,Center,Right,243lb
1440,georgde01,"August 29, 1977","Minneapolis, Minnesota",0.9,39.2,34.3,72.1,630,10.6,5.6,3.1,18.2,45.6,Augsburg College,23rd overall,1st round,Los Angeles Lakers,1999,6-8,"Benilde-Saint Margaret in St. Louis Park, Minnesota",Devean George,Small Forward,Right,220lb
1442,georgpa01,"May 2, 1990","Palmdale, California",3.3,43.3,37.8,84.4,604,19.2,19.8,6.4,65.2,50.9,"California State University, Fresno",10th overall,1st round,Indiana Pacers,2010,6-9,"Knight in Palmdale, California",Paul George,Small Forward and Shooting Guard,Right,220lb
1443,georgta01,"May 29, 1968","Newark, New Jersey",1.8,41.4,7.1,82.0,177,10.7,4.2,1.0,1.3,41.5,University of Connecticut,22nd overall,1st round,New Jersey Nets,1990,6-5,"Union Catholic Regional in Scotch Plains, New Jersey",Tate George,Shooting Guard and Point Guard,Right,190lb
1445,gerargu01,"July 27, 1953","Uniontown, Pennsylvania",1.3,43.8,27.3,69.6,446,13.8,8.4,4.1,11.1,43.9,University of Virginia,50th overall,3rd round,Portland Trail Blazers,1975,6-8,"Laurel Highlands in Uniontown, Pennsylvania",Gus Gerard,Small Forward,Right,200lb
1446,gervide01,"March 28, 1963","Detroit, Michigan",0.5,43.5,22.6,76.4,77,16.3,8.8,2.3,2.1,44.1,University of Texas at San Antonio,90th overall,4th round,Philadelphia 76ers,1985,6-8,"Martin Luther King in Detroit, Michigan",Derrick Gervin,Power Forward,Right,200lb
1447,gervige01,"April 27, 1952","Detroit, Michigan",2.6,50.4,27.1,84.1,1060,21.4,25.1,5.3,116.3,50.7,Eastern Michigan University,40th overall,3rd round,Phoenix Suns,1974,6-7,"Martin Luther King in Detroit, Michigan",George Gervin,Shooting Guard and Small Forward,Right,180lb
1451,gibsoda01,"February 27, 1986","Houston, Texas",2.0,40.2,40.7,78.0,397,10.8,7.8,2.0,16.0,51.2,University of Texas at Austin,42nd overall,2nd round,Cleveland Cavaliers,2006,6-2,"Jones in Houston, Texas",Daniel Gibson,Shooting Guard and Point Guard,Right,190lb
1457,gibsota01,"June 24, 1985","Brooklyn, New York",1.0,51.2,21.2,70.9,737,15.5,9.8,6.4,49.8,51.4,University of Southern California,26th overall,1st round,Chicago Bulls,2009,6-9,"Calvary Christian in San Fernando, California",Taj Gibson,Power Forward,Right,232lb
1458,giddejr01,"February 13, 1985","Oklahoma City, Oklahoma",0.3,47.6,0.0,56.5,38,9.7,1.9,1.4,0.1,47.6,"University of Kansas, University of New Mexico",30th overall,1st round,Boston Celtics,2008,6-5,"John Marshall in Oklahoma City, Oklahoma",J.R. Giddens,Small Forward,Right,215lb
1460,gilesha01,"April 22, 1998","Winston-Salem, North Carolina",1.5,50.3,0.0,63.7,58,14.4,7.0,3.8,1.0,50.3,Duke University,20th overall,1st round,Portland Trail Blazers,2017,6-10,"Forest Trail Academy in Kernersville, North Carolina",Harry Giles,Power Forward,Right,240lb
1461,gilgesh01,"July 12, 1998","Toronto, Canada",3.3,47.6,36.7,80.0,82,13.4,10.8,2.8,3.3,51.2,University of Kentucky,11th overall,1st round,Charlotte Hornets,2018,6-6,"Hamilton Heights Christian HS in Chattanooga, Tennessee",Shai Gilgeous-Alexander,Point Guard,Right,181lb
1463,gillke01,"May 25, 1968","Chicago, Illinois",3.0,43.4,30.0,75.4,966,14.7,13.4,4.1,47.8,44.8,University of Illinois at Urbana-Champaign,5th overall,1st round,Charlotte Hornets,1990,6-5,"Rich Central in Olympia Fields, Illinois",Kendall Gill,Shooting Guard and Small Forward,Right,195lb
1467,gilliar01,"May 28, 1964","Pittsburgh, Pennsylvania",1.2,48.9,0.0,77.6,929,16.4,13.7,6.9,58.1,48.9,"University of Nevada, Las Vegas",2nd overall,1st round,Phoenix Suns,1987,6-9,"Bethel Park in Bethel Park, Pennsylvania",Armen Gilliam,Power Forward and Small Forward,Right,230lb
1469,gilmoar01,"September 21, 1949","Chipley, Florida",2.3,58.2,15.0,69.8,1329,21.4,18.8,12.3,189.7,58.2,"Gardner-Webb University, Jacksonville University",117th overall,7th round,Chicago Bulls,1971,7-2,"Carver in Dothan, Alabama",Artis Gilmore,Center,Left,240lb
1474,givenja01,"September 21, 1956","Lexington, Kentucky",0.9,40.1,0.0,79.1,156,12.3,6.7,2.9,4.3,40.1,University of Kentucky,16th overall,1st round,Atlanta Hawks,1978,6-5,"Bryan Station in Lexington, Kentucky",Jack Givens,Small Forward,Left,205lb
1477,glassge01,"November 12, 1967","Greenwood, Mississippi",1.5,43.3,23.6,64.3,201,13.3,7.7,2.5,1.8,44.2,"Delta State University, University of Mississippi",20th overall,1st round,Minnesota Timberwolves,1990,6-5,"Amanda Elzy in Greenwood, Mississippi",Gerald Glass,Small Forward,Right,221lb
1478,glennmi01,"September 10, 1955","Rome, Georgia",1.6,54.2,28.6,85.5,593,15.1,7.6,1.2,25.3,54.3,Southern Illinois University,23rd overall,2nd round,Chicago Bulls,1977,6-2,"Coosa in Rome, Georgia",Mike Glenn,Shooting Guard and Point Guard,Right,175lb
1482,glovedi01,"October 22, 1978","Marietta, Georgia",1.5,41.1,31.7,75.6,294,12.8,8.2,3.1,5.8,44.5,Georgia Institute of Technology,20th overall,1st round,Atlanta Hawks,1999,6-5,"Cedar Grove in Ellenwood, Georgia",Dion Glover,Shooting Guard,Right,228lb
1484,gminsmi01,"August 3, 1959","Monroe, Connecticut",1.3,46.5,12.2,84.3,938,16.3,11.7,6.9,55.9,46.5,Duke University,7th overall,1st round,New Jersey Nets,1980,6-11,"Masuk in Monroe, Connecticut",Mike Gminski,Center,Right,250lb
1489,goldwan01,"September 6, 1971","West Palm Beach, Florida",2.8,40.7,38.6,79.2,266,12.7,6.3,1.3,6.4,47.9,University of Houston,52nd overall,2nd round,Phoenix Suns,1994,6-1,"Suncoast in Riviera Beach, Florida",Anthony Goldwire,Point Guard,Right,182lb
1490,gomesry01,"September 1, 1982","Waterbury, Connecticut",1.5,44.5,34.9,79.9,487,12.5,10.1,4.6,19.4,48.4,Providence College,50th overall,2nd round,Boston Celtics,2005,6-7,"Wilby in Waterbury, Connecticut",Ryan Gomes,Power Forward and Small Forward,Right,250lb
1491,gondrgl01,"August 30, 1955","Boulder, Colorado",1.4,47.3,14.3,72.4,435,13.7,5.8,4.5,15.9,47.4,"University of Nevada, Las Vegas",26th overall,2nd round,New York Knicks,1977,6-6,"Boulder in Boulder, Colorado",Glen Gondrezick,Power Forward and Small Forward,Right,218lb
1492,gondrgr01,"January 19, 1963","Boulder, Colorado",1.3,43.8,25.0,68.7,91,11.1,5.0,1.6,0.8,44.7,Pepperdine University,77th overall,4th round,Phoenix Suns,1986,6-5,"Boulder in Boulder, Colorado",Grant Gondrezick,Shooting Guard,Right,205lb
1493,goodedr01,"September 24, 1981","Oakland, California",1.1,46.2,25.7,76.0,790,16.3,11.0,7.1,43.9,46.8,University of Kansas,4th overall,1st round,Memphis Grizzlies,2002,6-10,"El Cerrito in El Cerrito, California",Drew Gooden,Small Forward and Center and Power Forward,Right,250lb
1496,goodwar01,"August 17, 1994","Little Rock, Arkansas",1.2,42.9,23.6,70.0,165,11.6,6.3,2.0,1.1,45.5,University of Kentucky,29th overall,1st round,Oklahoma City Thunder,2013,6-5,"Sylvan Hills in Sherwood, Arkansas",Archie Goodwin,Point Guard and Shooting Guard,Right,200lb
1499,gordoaa01,"September 16, 1995","San Jose, California",2.2,45.0,32.1,70.7,341,15.3,12.5,6.2,18.0,50.2,University of Arizona,4th overall,1st round,Orlando Magic,2014,6-9,"Archbishop Mitty in San Jose, California",Aaron Gordon,Power Forward and Small Forward,Right,220lb
1500,gordobe01,"April 4, 1983","London, United Kingdom",2.5,43.2,40.1,85.7,744,14.9,14.9,2.5,33.3,49.7,University of Connecticut,3rd overall,1st round,Chicago Bulls,2004,6-3,"Mount Vernon in Mount Vernon, New York",Ben Gordon,Shooting Guard,Right,200lb
1502,gordoer01,"December 25, 1988","Indianapolis, Indiana",2.9,42.8,37.4,81.4,629,14.5,16.7,2.5,33.6,51.5,Indiana University,7th overall,1st round,Los Angeles Clippers,2008,6-4,"North Central in Indianapolis, Indiana",Eric Gordon,Shooting Guard and Point Guard,Right,215lb
1503,gordola01,"June 24, 1962","Jackson, Mississippi",1.5,39.1,27.1,76.7,201,9.4,5.6,1.3,-2.7,40.0,University of Louisville,8th overall,1st round,Los Angeles Clippers,1984,6-3,"Jim Hill in Jackson, Mississippi",Lancaster Gordon,Shooting Guard,Right,185lb
1507,goudean01,"December 7, 1988","Gainesville, Georgia",0.5,39.3,34.5,87.5,49,8.6,4.0,0.7,0.0,46.7,College of Charleston,46th overall,2nd round,Los Angeles Lakers,2011,6-3,"Stone Mountain in Stone Mountain, Georgia",Andrew Goudelock,Point Guard and Shooting Guard,Right,200lb
1508,govange01,"January 2, 1942","Jersey City, New Jersey",3.2,40.5,20.8,67.8,681,10.2,7.7,10.5,27.0,40.6,Saint Mary of the Plains College,88th overall,11th round,St. Louis Hawks,1964,6-10,"Snyder in Jersey City, New Jersey",Gerald Govan,Power Forward and Center,Right,220lb
1513,grahade01,"February 22, 1995","Raleigh, North Carolina",2.6,34.3,28.1,76.1,46,10.3,4.7,1.4,0.5,42.1,University of Kansas,34th overall,2nd round,Atlanta Hawks,2018,6-2,"Brewster Academy in Wolfeboro, New Hampshire",Devonte' Graham,Point Guard,Right,185lb
1514,grahagr01,"November 26, 1970","Indianapolis, Indiana",1.0,40.7,29.0,77.5,207,10.6,4.5,1.1,1.3,43.7,Indiana University,17th overall,1st round,Charlotte Hornets,1993,6-4,"Warren Central in Indianapolis, Indiana",Greg Graham,Shooting Guard,Right,174lb
1515,grahajo01,"June 11, 1982","Wilmington, Delaware",0.5,48.3,30.0,81.5,377,11.0,5.9,2.8,7.8,49.8,"University of Central Florida, Oklahoma State University",16th overall,1st round,Toronto Raptors,2005,6-7,"Brandon in Brandon, Florida",Joey Graham,Small Forward,Right,225lb
1521,grandji01,"October 4, 1960","Elkhart, Indiana",0.3,51.7,52.9,47.6,26,16.5,3.0,1.9,0.4,59.5,"University of Florida, University of South Florida",76th overall,4th round,Washington Bullets,1984,7-0,"Central in Elkhart, Indiana",Jim Grandholm,Power Forward,Right,235lb
1522,grandro01,"July 9, 1964","Los Angeles, California",0.6,40.4,16.7,71.3,105,9.8,2.4,1.6,1.2,41.3,"University of California, Irvine, University of New Orleans",100th overall,5th round,Denver Nuggets,1987,6-6,"Saint Bernard in Playa del Rey, California",Ron Grandison,Power Forward,Right,215lb
1523,grangda01,"April 20, 1983","New Orleans, Louisiana",1.9,43.4,38.0,84.8,586,16.9,16.8,4.9,48.5,50.0,"Bradley University, University of New Mexico",17th overall,1st round,Indiana Pacers,2005,6-9,"Grace King in Metairie, Louisiana",Danny Granger,Small Forward,Right,222lb
1524,grangst01,"October 27, 1961","Montreal, Canada",2.2,41.4,23.5,74.2,80,8.4,4.0,1.0,-0.1,42.1,Villanova University,24th overall,1st round,Cleveland Cavaliers,1983,6-3,"Nazareth Regional in Brooklyn, New York",Stewart Granger,Point Guard,Right,190lb
1525,grantbr01,"March 5, 1972","Columbus, Ohio",1.2,49.0,21.4,74.6,756,14.9,10.5,7.4,54.5,49.1,Xavier University,8th overall,1st round,Sacramento Kings,1994,6-9,"Georgetown in Georgetown, Ohio",Brian Grant,Small Forward and Power Forward and Center,Right,254lb
1527,grantga01,"April 21, 1965","Canton, Ohio",5.5,45.0,27.8,77.6,552,13.4,7.9,2.3,12.0,46.2,University of Michigan,15th overall,1st round,Seattle SuperSonics,1988,6-3,"McKinley in Canton, Ohio",Gary Grant,Point Guard,Right,185lb
1528,grantgr01,"August 29, 1966","Trenton, New Jersey",2.7,38.3,28.1,71.0,274,9.9,2.8,0.9,1.6,40.8,Trenton State University,52nd overall,2nd round,Phoenix Suns,1989,5-7,"Central in Trenton, New Jersey",Greg Grant,Point Guard,Right,140lb
1529,grantha01,"July 4, 1965","Augusta, Georgia",1.6,46.9,26.7,70.9,783,12.7,9.9,4.4,36.4,47.3,"Clemson University, University of Oklahoma",12th overall,1st round,Washington Bullets,1988,6-8,"Hancock Central in Sparta, Georgia",Harvey Grant,Small Forward and Power Forward,Right,195lb
1530,grantho01,"July 4, 1965","Augusta, Georgia",2.2,50.9,6.3,69.2,1165,16.0,11.2,8.1,118.2,50.9,Clemson University,10th overall,1st round,Chicago Bulls,1987,6-10,"Hancock Central in Sparta, Georgia",Horace Grant,Center and Power Forward,Right,215lb
1531,grantje01,"March 12, 1994","Portland, Oregon",1.0,46.1,33.4,65.4,383,12.6,8.8,3.9,18.2,51.5,Syracuse University,39th overall,2nd round,Philadelphia 76ers,2014,6-9,"DeMatha in Hyattsville, Maryland",Jerami Grant,Small Forward and Power Forward,Right,220lb
1532,grantje02,"October 9, 1992","Silver Spring, Maryland",2.9,41.2,32.4,77.1,273,12.6,6.1,1.9,8.3,47.3,University of Notre Dame,19th overall,1st round,Washington Wizards,2015,6-4,"DeMatha in Hyattsville, Maryland",Jerian Grant,Point Guard,Right,205lb
1533,grantjo01,"August 7, 1967","Salt Lake City, Utah",0.5,40.4,27.9,75.9,53,11.7,3.0,1.7,0.5,46.2,University of Utah,43rd overall,2nd round,Denver Nuggets,1993,6-9,"East in Salt Lake City, Utah",Josh Grant,Power Forward,Right,223lb
1535,granttr01,"January 1, 1950","Clayton, Alabama",1.0,52.4,33.3,81.1,201,18.7,13.8,4.1,11.6,52.5,Kentucky State University,13th overall,1st round,Los Angeles Lakers,1972,6-7,"Barbour County Training School in Clayton, Alabama",Travis Grant,Small Forward,Right,215lb
1538,gravebu01,"January 5, 1962","Scarsdale, New York",0.3,33.3,0.0,20.0,4,-0.8,1.3,0.5,-0.1,33.3,Yale University,68th overall,3rd round,Philadelphia 76ers,1984,6-3,"Scarsdale in Scarsdale, New York",Butch Graves,Shooting Guard,Right,200lb
1539,grayaa01,"December 7, 1984","Tarzana, California",0.7,50.9,0.0,56.2,318,11.5,3.4,3.7,6.2,50.9,University of Pittsburgh,49th overall,2nd round,Chicago Bulls,2007,7-0,"Emmaus in Emmaus, Pennsylvania",Aaron Gray,Center,Right,270lb
1541,grayed01,"September 27, 1975","Riverside, California",0.8,33.9,34.1,81.4,60,9.6,6.2,1.2,0.1,37.8,"University of Tennessee, University of California",22nd overall,1st round,Atlanta Hawks,1997,6-3,"North in Riverside, California",Ed Gray,Shooting Guard,Right,210lb
1546,grayst01,"May 27, 1963","Panama Canal Zone, Panama",0.4,44.6,0.0,66.3,386,8.6,2.3,2.6,3.3,44.6,"University of California, Los Angeles",29th overall,2nd round,Indiana Pacers,1984,7-0,"John F. Kennedy in Granada Hills, California",Stuart Gray,Center,Right,235lb
1547,graysy01,"July 8, 1967","Millington, Tennessee",2.1,42.0,25.0,67.3,55,11.2,8.0,5.2,0.7,42.1,University of Memphis,35th overall,2nd round,Miami Heat,1988,6-6,"Bolton in Arlington, Tennessee",Sylvester Gray,Small Forward,Right,230lb
1549,grayeje01,"December 17, 1965","Flint, Michigan",1.4,45.7,25.5,66.3,438,12.0,7.4,3.0,9.0,46.3,Iowa State University,13th overall,1st round,Milwaukee Bucks,1988,6-5,"Flint Northwestern in Flint, Michigan",Jeff Grayer,Shooting Guard and Small Forward,Right,200lb
1551,greenac01,"October 4, 1963","Portland, Oregon",1.1,49.4,25.4,73.4,1278,14.4,9.6,7.4,99.5,50.1,Oregon State University,23rd overall,1st round,Los Angeles Lakers,1985,6-9,"Benson Polytechnic in Portland, Oregon",A.C. Green,Power Forward and Small Forward,Right,220lb
1552,greenda02,"June 22, 1987","North Babylon, New York",1.6,42.4,40.4,81.7,620,13.2,9.0,3.5,39.2,54.9,University of North Carolina,46th overall,2nd round,Cleveland Cavaliers,2009,6-6,"St. Mary's in Manhasset, New York",Danny Green,Shooting Guard,Right,215lb
1554,greendr01,"March 4, 1990","Saginaw, Michigan",4.9,43.9,32.3,70.6,533,15.3,9.1,6.9,43.3,50.0,Michigan State University,35th overall,2nd round,Golden State Warriors,2012,6-7,"Saginaw in Saginaw, Michigan",Draymond Green,Small Forward and Power Forward,Right,230lb
1555,greener01,"May 9, 1991","Inglewood, California",0.8,37.7,28.8,85.7,52,9.3,3.1,0.7,0.1,42.0,Virginia Polytechnic Institute and State University,46th overall,2nd round,Utah Jazz,2013,6-4,"Paul VI in Fairfax, Virginia",Erick Green,Point Guard,Right,185lb
1558,greenje02,"August 28, 1986","Cheverly, Maryland",1.6,44.1,33.3,80.5,860,13.3,13.2,4.5,40.2,48.8,Georgetown University,5th overall,1st round,Boston Celtics,2007,6-9,"Northwestern in Hyattsville, Maryland",Jeff Green,Small Forward and Power Forward,Right,235lb
1561,greenke02,"October 11, 1964","Eustis, Florida",0.3,41.2,0.0,72.1,60,8.1,4.4,1.7,-0.3,41.2,Wake Forest University,12th overall,1st round,Washington Bullets,1985,6-6,"Eustis in Eustis, Florida",Kenny Green,Small Forward,Right,210lb
1563,greenli01,"March 7, 1970","Pascagoula, Mississippi",1.2,42.0,7.7,66.5,148,11.6,2.9,0.5,1.6,42.3,University of Georgia,39th overall,2nd round,Chicago Bulls,1992,6-1,"Moss Point in Moss Point, Mississippi",Litterial Green,Point Guard,Right,185lb
1564,greenlu01,"November 13, 1946","New York, New York",0.3,38.3,0.0,50.7,90,10.5,4.3,3.6,-0.5,38.3,Long Island University,41st overall,3rd round,Cincinnati Royals,1969,6-7,"DeWitt Clinton in Bronx, New York",Luther Green,Power Forward,Right,190lb
1565,greenmi01,"August 6, 1951","McComb, Mississippi",1.3,48.0,8.3,73.2,459,16.3,11.5,6.9,27.6,48.0,Louisiana Tech University,4th overall,1st round,Seattle SuperSonics,1973,6-10,"Higgins in McComb, Mississippi",Mike Green,Center,Right,200lb
1566,greenri01,"August 18, 1954","Chicago, Illinois",5.5,46.9,20.7,80.7,946,15.3,9.4,1.9,47.2,47.1,University of Michigan,16th overall,1st round,Golden State Warriors,1977,6-0,"Hirsch Metro in Chicago, Illinois",Rickey Green,Point Guard,Right,170lb
1567,greense01,"February 2, 1970","Santa Monica, California",0.5,38.6,24.6,62.0,84,9.7,4.2,1.0,-1.3,40.5,"North Carolina State University, Iona College",41st overall,2nd round,Indiana Pacers,1991,6-5,"Oak Hill Academy in Mouth of Wilson, Virginia",Sean Green,Shooting Guard,Right,210lb
1569,greensi02,"January 4, 1961","Brooklyn, New York",0.9,45.4,3.7,73.8,679,12.1,7.5,6.1,17.4,45.5,"University of Nevada, Las Vegas",5th overall,1st round,Chicago Bulls,1983,6-9,"Thomas Jefferson in Brooklyn, New York",Sidney Green,Center and Power Forward,Right,220lb
1570,greenst01,"October 4, 1953","Madison, Wisconsin",0.8,44.1,0.0,73.0,205,12.0,5.8,2.4,3.4,44.1,Indiana University,30th overall,2nd round,Chicago Bulls,1975,6-7,"Silver Creek in Sellersburg, Indiana",Steve Green,Small Forward,Right,220lb
1571,greenta01,"November 28, 1986","Fort Lauderdale, Florida",0.6,28.0,18.2,91.7,17,7.0,1.6,0.6,-0.1,32.0,University of Florida,52nd overall,2nd round,Portland Trail Blazers,2007,6-0,"Cardinal Gibbons in Ft. Lauderdale, Florida",Taurean Green,Shooting Guard and Point Guard,Right,177lb
1573,greenwi01,"July 28, 1981","Detroit, Michigan",1.4,42.5,34.6,76.5,731,11.0,8.3,1.8,12.9,47.1,University of Detroit Mercy,41st overall,2nd round,Seattle SuperSonics,2003,6-4,"Cooley in Detroit, Michigan",Willie Green,Shooting Guard,Right,200lb
1574,greendo01,"February 21, 1988","Munich, Germany",0.7,40.6,30.4,70.1,253,10.0,6.1,2.4,1.5,46.3,Syracuse University,28th overall,1st round,Memphis Grizzlies,2008,6-11,"Towson Catholic in Towson, Maryland",Donte Greene,Small Forward and Power Forward,Right,226lb
1575,greenor01,"February 4, 1982","Gainesville, Florida",1.2,38.7,21.2,64.2,131,6.1,2.5,1.5,-0.7,40.4,"University of Florida, University of Louisiana at Lafayette",53rd overall,2nd round,Boston Celtics,2005,6-4,"Gainesville in Gainesville, Florida",Orien Greene,Point Guard and Shooting Guard,Right,208lb
1577,greenda01,"May 27, 1957","Lynwood, California",2.0,47.7,13.8,76.5,823,13.6,10.2,7.9,46.4,47.8,"University of California, Los Angeles",2nd overall,1st round,Chicago Bulls,1979,6-9,"Verbum Dei in Los Angeles, California",Dave Greenwood,Power Forward,Right,222lb
1580,gregoga01,"August 13, 1945","Charlestown, West Virginia",1.3,43.6,75.0,72.5,361,11.7,8.9,6.3,3.9,43.6,University of South Carolina,24th overall,3rd round,New York Knicks,1967,6-7,"South Charleston in Charleston, West Virginia",Gary Gregor,Small Forward and Power Forward,Right,225lb
